    Data: Real and imaginary indices of refraction of ice at -7 C 
    for the 4.43e-2 to 167 micron range, and indices of ice at 
    -1, -5, -20, and -60 C for the 167 to 8.6e6 micron range.

    Reference:S. G. Warren, Optical constants of ice from the ultraviolet 
    to the microwave, Applied Optics, vol. 23, pgs. 1206-1225, 1984.
    The values here were generated from a program of S. Warren.

    Format: wavenumber (cm-1), wavelength (microns), real and
    imaginary indices of refraction.
    468 values for ice at  -7 C, 4.43e-2 to 167 microns
    62  values for ice at  -1 C, 167 to 8.6e6 microns
    62  values for ice at  -5 C, 167 to 8.6e6 microns
    62  values for ice at -20 C, 167 to 8.6e6 microns
    62  values for ice at -60 C, 167 to 8.6e6 microns
    2x,2(1x,e10.3),2x,1(1x,f6.4),1(1x,e10.3)


    ICE
    Temperature = 266.16 K (-7 C)
    cm-1       microns     real    imaginary
    1.852E+04  5.400E-01   1.3114  2.930E-09
    1.887E+04  5.300E-01   1.3118  2.540E-09
    1.923E+04  5.200E-01   1.3122  2.260E-09
    1.961E+04  5.100E-01   1.3126  2.140E-09
    2.000E+04  5.000E-01   1.3130  1.910E-09
    2.041E+04  4.900E-01   1.3135  1.780E-09
    2.083E+04  4.800E-01   1.3140  1.640E-09
    2.128E+04  4.700E-01   1.3145  1.550E-09
    2.174E+04  4.600E-01   1.3151  1.530E-09
    2.222E+04  4.500E-01   1.3157  1.540E-09
    2.273E+04  4.400E-01   1.3163  1.910E-09
    2.326E+04  4.300E-01   1.3170  2.080E-09
    2.381E+04  4.200E-01   1.3177  2.260E-09
    2.439E+04  4.100E-01   1.3185  2.510E-09
    2.500E+04  4.000E-01   1.3194  2.710E-09
    2.857E+04  3.500E-01   1.3249  3.765E-09
    3.333E+04  3.000E-01   1.3339  5.504E-09
    4.000E+04  2.500E-01   1.3508  8.623E-09
    4.762E+04  2.100E-01   1.3800  1.325E-08
    5.128E+04  1.950E-01   1.4007  1.590E-08
    5.181E+04  1.930E-01   1.4042  1.640E-08
    5.236E+04  1.910E-01   1.4080  1.750E-08
    5.263E+04  1.900E-01   1.4101  1.900E-08
    5.291E+04  1.890E-01   1.4122  2.200E-08
    5.319E+04  1.880E-01   1.4143  2.400E-08
    5.348E+04  1.870E-01   1.4166  2.800E-08
    5.376E+04  1.860E-01   1.4190  3.750E-08
    5.405E+04  1.850E-01   1.4214  1.467E-07
    5.426E+04  1.843E-01   1.4232  2.300E-07
    5.456E+04  1.833E-01   1.4260  4.600E-07
    5.491E+04  1.821E-01   1.4292  9.200E-07
    5.528E+04  1.809E-01   1.4328  1.610E-06
    5.549E+04  1.802E-01   1.4350  2.300E-06
    5.621E+04  1.779E-01   1.4427  3.000E-06
    5.692E+04  1.757E-01   1.4511  1.000E-05
    5.757E+04  1.737E-01   1.4599  3.000E-05
    5.838E+04  1.713E-01   1.4723  1.000E-04
    5.910E+04  1.692E-01   1.4850  3.000E-04
    5.992E+04  1.669E-01   1.5032  1.000E-03
    6.068E+04  1.648E-01   1.5245  3.000E-03
    6.154E+04  1.625E-01   1.5563  1.000E-02
    6.211E+04  1.610E-01   1.5827  2.200E-02
    6.293E+04  1.589E-01   1.6222  5.800E-02
    6.329E+04  1.580E-01   1.6323  8.300E-02
    6.373E+04  1.569E-01   1.6372  1.100E-01
    6.452E+04  1.550E-01   1.6383  1.560E-01
    6.494E+04  1.540E-01   1.6369  1.720E-01
    6.532E+04  1.531E-01   1.6340  1.980E-01
    6.614E+04  1.512E-01   1.6252  2.280E-01
    6.693E+04  1.494E-01   1.6192  2.740E-01
    6.734E+04  1.485E-01   1.6117  2.980E-01
    6.757E+04  1.480E-01   1.6065  3.150E-01
    6.775E+04  1.476E-01   1.5964  3.320E-01
    6.812E+04  1.468E-01   1.5778  3.450E-01
    6.854E+04  1.459E-01   1.5538  3.770E-01
    6.897E+04  1.450E-01   1.5213  3.890E-01
    6.935E+04  1.442E-01   1.4903  4.050E-01
    6.969E+04  1.435E-01   1.4583  4.065E-01
    7.018E+04  1.425E-01   1.4187  4.010E-01
    7.097E+04  1.409E-01   1.3630  3.820E-01
    7.179E+04  1.393E-01   1.3203  3.440E-01
    7.210E+04  1.387E-01   1.3019  3.340E-01
    7.257E+04  1.378E-01   1.2893  2.890E-01
    7.299E+04  1.370E-01   1.2889  2.710E-01
    7.342E+04  1.362E-01   1.2905  2.430E-01
    7.418E+04  1.348E-01   1.3060  2.130E-01
    7.502E+04  1.333E-01   1.3238  1.940E-01
    7.582E+04  1.319E-01   1.3414  1.800E-01
    7.663E+04  1.305E-01   1.3630  1.720E-01
    7.722E+04  1.295E-01   1.3801  1.740E-01
    7.862E+04  1.272E-01   1.4026  1.950E-01
    8.065E+04  1.240E-01   1.4092  2.240E-01
    8.264E+04  1.210E-01   1.3963  2.470E-01
    8.467E+04  1.181E-01   1.3819  2.440E-01
    8.772E+04  1.140E-01   1.3807  2.390E-01
    8.873E+04  1.127E-01   1.3842  2.390E-01
    9.091E+04  1.100E-01   1.3924  2.440E-01
    9.276E+04  1.078E-01   1.4022  2.510E-01
    9.681E+04  1.033E-01   1.4093  2.910E-01
    1.008E+05  9.920E-02   1.4017  3.180E-01
    1.048E+05  9.540E-02   1.4006  3.390E-01
    1.075E+05  9.300E-02   1.4091  3.600E-01
    1.089E+05  9.180E-02   1.4164  3.800E-01
    1.129E+05  8.860E-02   1.3896  4.680E-01
