                                                                        
  Data: Real and imaginary indices of refraction of sulfuric acid       
  solutions at 75 and 90% H2SO4, by weight, plus the standard       
  deviations of the measurements.                  
        Real and imaginary indices of refraction of nitric acid       
  solutions at 68% HNO3, by weight, plus the standard       
  deviations of the measurements.                  
                                                                        
  Reference: E. E. Remsberg, D. Lavery, and B. Crawford, Optical        
  constants for sulfuric and nitric acids, J. Chem. and Engin. Data,    
  vol.19, pgs. 263-255, 1974.                                           
                                                                        
  Format: wavenumber(cm-1), wavelength(microns), imaginary index,       
  imaginary index standard deviation, real index, real index standard   
  deviation, correlation coefficient.
  184 lines at 75% H2SO4                                                
  211 lines at 90% H2SO4                                                
   44 lines at 68% HNO3                                                
  2x,f6.1,2x,f6.3,5(2x,f6.4)                                            
                                                                        
   OPTICAL CONSTANTS FOR 75% AQUEOUS H2SO4                                 
   cm-1    microns    k     sk     n        sn      rho                     
   920.6  10.862   .4610   .0180  1.7800   .0210  -.8700
   917.5  10.899   .4820   .0140  1.7690   .0150  -.8040
   915.1  10.928   .5030   .0140  1.7690   .0150  -.8030
   912.0  10.965   .5260   .0150  1.7800   .0150  -.8040
   909.0  11.001   .5430   .0160  1.7930   .0150  -.8050
   906.6  11.030   .5570   .0160  1.8080   .0150  -.8050
   903.7  11.066   .5540   .0160  1.8450   .0160  -.8090
   903.1  11.073   .5540   .0160  1.8490   .0160  -.8100
   900.8  11.101   .5430   .0160  1.8760   .0160  -.8130
   897.9  10.021   .5170   .0160  1.9050   .0160  -.8190
   895.6  11.166   .5060   .0160  1.9160   .0160  -.8210
   893.3  11.194   .4800   .0150  1.9260   .0160  -.8260
   890.5  11.230   .4520   .0140  1.9360   .0170  -.8310
   888.3  11.257   .4240   .0140  1.9420   .0170  -.8370
   885.5  11.293   .3840   .0130  1.9490   .0170  -.8460
   883.3  11.321   .3520   .0100  1.9590   .0130  -.7320
   882.8  11.328   .3500   .0120  1.9470   .0170  -.8540
   881.1  11.349   .3300   .0100  1.9560   .0130  -.7250
   880.6  11.356   .3320   .0120  1.9360   .0170  -.8580
   879.0  11.377   .3150   .0090  1.9410   .0120  -.7250
   877.9  11.391   .3110   .0110  1.9150   .0170  -.8610
   876.8  11.405   .2930   .0090  1.9320   .0120  -.7230
   875.8  11.418   .2900   .0110  1.9100   .0180  -.8660
   874.7  11.432   .2730   .0080  1.9220   .0120  -.7250
   872.6  11.460   .2610   .0080  1.9100   .0110  -.7330
   870.5  11.488   .2500   .0080  1.9030   .0110  -.7390
   868.4  11.515   .2390   .0080  1.8900   .0110  -.7510
   866.4  11.542   .2380   .0080  1.8730   .0120  -.7660
   863.8  11.577   .2220   .0080  1.8650   .0120  -.7780
   861.8  11.604   .2090   .0070  1.8610   .0120  -.7870
   858.3  11.651   .1990   .0070  1.8430   .0120  -.8070
   855.3  11.692   .2070   .0080  1.8070   .0130  -.8250
   851.9  11.738   .1940   .0080  1.8110   .0130  -.8300
   848.9  11.780   .1920   .0230  1.7880   .0070  -.9500
   846.0  11.820   .2040   .0250  1.7730   .0080  -.9610
   842.7  11.867   .1830   .0210  1.7660   .0090  -.9730
   839.9  11.906   .1730   .0140  1.7600   .0070  -.9460
   837.1  11.946   .1690   .0130  1.7520   .0070  -.9530
   834.3  11.986   .1710   .0140  1.7420   .0080  -.9580
   831.6  12.025   .1690   .0130  1.7350   .0080  -.9610
   828.4  12.071   .1660   .0130  1.7270   .0080  -.9650
   825.7  12.111   .1600   .0120  1.7220   .0080  -.9670
   823.1  12.149   .1580   .0120  1.7160   .0090  -.9690
   820.4  12.189   .1630   .0130  1.7050   .0090  -.9730
   817.4  12.234   .1670   .0130  1.6940   .0100  -.9760
