
  Data: Imaginary indices of refraction for water and ice in
  the 0.67 to 2.5 micron range. 

  Reference: L. Kou, D. Labrie, and P. Chylek, Refractive indices of 
  water and ice in the 0.65 to 2.5 micron range, Applied Optics,
  vol. 32, pgs. 3531-3540, 1993.

  Format: wavenumber (cm-1), wavelength (microns), imaginary index
  of refraction, error (percent)
  147 values from  4000 to  6920 cm-1 (2x,f6.0,1x,f6.4,3(4x,e10.3,1x,f4.1))
  at 22 and -8 C for water, and at -25 C for ice.
  186 values from  6940 to 10640 cm-1 (2x,f6.0,1x,f6.4,2(4x,e10.3,1x,f4.1))
  at 22 and -8 C for water.
  218 values from 10660 to 15000 cm-1 (2x,f6.0,1x,f6.4,1(4x,e10.3,1x,f4.1))
  at 22 C for water.


 		    Water              Water              ICE 
		    22 C               -8 C               -25 C
   cm-1  microns    imaginary  error   imaginary  error   imaginary  error   

   8420. 1.1876     1.190E-05  1.5     1.150E-05  1.6
   8440. 1.1848     1.180E-05  1.4     1.120E-05  1.6
   8460. 1.1820     1.170E-05  1.5     1.100E-05  1.8
   8480. 1.1792     1.160E-05  1.7     1.080E-05  2.0
   8500. 1.1765     1.150E-05  1.4     1.050E-05  1.7
   8520. 1.1737     1.150E-05  1.4     1.030E-05  1.7
   8540. 1.1710     1.130E-05  1.8     9.990E-06  2.2
   8560. 1.1682     1.120E-05  1.6     9.790E-06  2.1
   8580. 1.1655     1.110E-05  1.5     9.520E-06  2.0
   8600. 1.1628     1.100E-05  1.6     9.210E-06  2.2
   8620. 1.1601     1.080E-05  2.0     8.890E-06  2.7
   8640. 1.1574     1.050E-05  2.0     8.470E-06  2.9
   8660. 1.1547     1.010E-05  1.9     8.060E-06  2.7
   8680. 1.1521     9.540E-06  1.8     7.530E-06  2.6
   8700. 1.1494     8.680E-06  1.3     7.070E-06  2.2
   8720. 1.1468     7.840E-06  2.0     6.430E-06  2.8
   8740. 1.1442     6.860E-06  1.6     5.680E-06  2.4
   8760. 1.1416     5.920E-06  1.4     4.970E-06  2.1
   8780. 1.1390     5.050E-06  1.7     4.300E-06  2.4
   8800. 1.1364     4.260E-06  2.6     3.670E-06  3.3
   8820. 1.1338     3.640E-06  1.6     3.200E-06  2.2
   8840. 1.1312     3.180E-06  2.6     2.840E-06  3.2
   8860. 1.1287     2.840E-06  1.9     2.580E-06  2.7
   8880. 1.1261     2.590E-06  2.6     2.380E-06  3.3
   8900. 1.1236     2.430E-06  2.5     2.280E-06  3.4
   8920. 1.1211     2.300E-06  2.9     2.170E-06  3.7
   8940. 1.1186     2.180E-06  3.2     2.090E-06  3.9
   8960. 1.1161     2.090E-06  3.0     2.020E-06  3.8
   8980. 1.1136     2.070E-06  3.2     1.960E-06  3.9
   9000. 1.1111     1.990E-06  3.0     1.900E-06  4.4
   9020. 1.1086     1.910E-06  2.9     1.840E-06  3.7
   9040. 1.1062     1.830E-06  2.7     1.780E-06  4.8
   9060. 1.1038     1.760E-06  2.7     1.720E-06  5.0
   9080. 1.1013     1.690E-06  2.6     1.660E-06  4.8
   9100. 1.0989     1.630E-06  2.5     1.610E-06  5.2
   9120. 1.0965     1.550E-06  2.5     1.560E-06  4.8
   9140. 1.0941     1.490E-06  2.4     1.510E-06  5.9
   9160. 1.0917     1.440E-06  2.5     1.440E-06  5.3
   9180. 1.0893     1.390E-06  2.4     1.410E-06  4.6
   9200. 1.0870     1.350E-06  2.4     1.380E-06  6.3
   9220. 1.0846     1.310E-06  2.4     1.350E-06  6.4
   9240. 1.0823     1.270E-06  2.3     1.310E-06  6.1
   9260. 1.0799     1.240E-06  2.3     1.300E-06  6.1
   9280. 1.0776     1.230E-06  2.3     1.270E-06  6.3
   9300. 1.0753     1.210E-06  2.3     1.260E-06  6.7
