This is Bob Kurucz's extraterrestrial solar spectrum, based on
a line-by-line calculation, a theoretical model of the Sun, and
relevant datasets.  It has been averaged to 1 cm-1 resolution.
The wavenumber column value refers to an average over plus and
minus 0.5 cm-1 around that value. The columns are tab-delimited.
97/04/24: CSZ added last line of flux = 49984 cm-1 = 0 Wm-2/cm-1
Wavenumber(cm-1)	SolarSpectrum(Wm-2/cm-1)
1402	4.710E-03
1403	4.714E-03
1404	4.721E-03
1405	4.730E-03
1406	4.738E-03
1407	4.744E-03
1408	4.750E-03
1409	4.756E-03
1410	4.761E-03
1411	4.768E-03
1412	4.775E-03
1413	4.782E-03
1414	4.787E-03
1415	4.791E-03
1416	4.798E-03
1417	4.806E-03
1418	4.813E-03
1419	4.822E-03
1420	4.829E-03
1421	4.835E-03
1422	4.841E-03
1423	4.840E-03
1424	4.834E-03
1425	4.841E-03
1426	4.858E-03
1427	4.872E-03
1428	4.880E-03
1429	4.886E-03
1430	4.892E-03
1431	4.898E-03
1432	4.906E-03
1433	4.913E-03
1434	4.919E-03
1435	4.926E-03
1436	4.932E-03
1437	4.938E-03
1438	4.943E-03
1439	4.948E-03
1440	4.951E-03
1441	4.955E-03
1442	4.966E-03
1443	4.976E-03
1444	4.984E-03
