Fri, 28 Aug 1998 17:04:39 -0300 (ADT)
File: abs_xsx_H2OH2O_TGC98.txt
These are the data Bill Tso sent me after much correspondence.
These are the raw data which were used in TGC98. The figure in
TGC98 was prepared by taking these data and smoothing them with
a Fourier filter as explained in his previous correspondence.
These data differ significant from the original dataset Petr Chylek
sent me. Those data extended all the way to ~23000 cm-1, and the peaks
were in different locations.





Wavenumber in cm^{-1} for the first column and
absorption cross-section in 10^{-20} cm^2 for
the second column.

 887.2180176 0.9779326618E-01
 890.2255859 0.9083326161E-01
 893.2330933 0.8575578034E-01
 896.2406006 0.8170205355E-01
 899.2481079 0.7960560173E-01
 902.2556152 0.7612227648E-01
 905.2631226 0.7300928235E-01
 908.2706909 0.6965870410E-01
 911.2781982 0.6694477797E-01
 914.2857056 0.6389933079E-01
 917.2932129 0.6127921492E-01
 920.3007202 0.5759656057E-01
 923.3082886 0.5491429195E-01
 926.3157959 0.5266285315E-01
 929.3233032 0.5131744221E-01
 932.3308105 0.4952740297E-01
 935.3383179 0.4777813703E-01
 938.3458252 0.4585792124E-01
 941.3533936 0.4435926676E-01
 944.3609009 0.4265651852E-01
 947.3684082 0.4129569978E-01
 950.3759155 0.3973084316E-01
 953.3834229 0.3850048408E-01
 956.3909912 0.3675265238E-01
 959.3984985 0.3562293574E-01
 962.4060059 0.3458768129E-01
 965.4135132 0.3396301344E-01
 968.4210205 0.3314561397E-01
 971.4285889 0.3231483325E-01
 974.4360962 0.3135288134E-01
 977.4436035 0.3066439927E-01
 980.4511108 0.2982890047E-01
 983.4586182 0.2919638716E-01
 986.4661865 0.2839865535E-01
 989.4736938 0.2782474272E-01
 992.4812012 0.2724946849E-01
 995.4887085 0.2697840519E-01
 998.4962158 0.2672433853E-01
 1001.503723 0.2666770294E-01
 1004.511292 0.2605899610E-01
 1007.518799 0.2551090717E-01
 1010.526306 0.2494986914E-01
 1013.533813 0.2483783104E-01
 1016.541321 0.2458658814E-01
 1019.548889 0.2460798249E-01
 1022.556396 0.2461120859E-01
 1025.563843 0.2492006682E-01
 1028.571411 0.2481421083E-01
 1031.578979 0.2449166961E-01
 1034.586426 0.2363225631E-01
 1037.593994 0.2303050831E-01
 1040.601440 0.2255715430E-01
 1043.609009 0.2249088883E-01
 1046.616577 0.2246505581E-01
 1049.624023 0.2263793722E-01
 1052.631592 0.2259039693E-01
 1055.639038 0.2265055291E-01
 1058.646606 0.2263663150E-01
 1061.654175 0.2281352878E-01
 1064.661621 0.2283961512E-01
 1067.669189 0.2287421748E-01
 1070.676636 0.2280179970E-01
 1073.684204 0.2297913283E-01
 1076.691772 0.2320883237E-01
 1079.699219 0.2363124490E-01
 1082.706787 0.2403626032E-01
 1085.714233 0.2465813607E-01
 1088.721802 0.2527191862E-01
 1091.729370 0.2615380473E-01
 1094.736816 0.2702570148E-01
 1097.744385 0.2823382057E-01
 1100.751831 0.2949438058E-01
 1103.759399 0.3093304671E-01
 1106.766846 0.3223697841E-01
 1109.774414 0.3373791650E-01
 1112.781982 0.3500892967E-01
 1115.789429 0.3641165420E-01
 1118.796997 0.3742112592E-01
 1121.804443 0.3820138052E-01
 1124.812012 0.3828956932E-01
 1127.819580 0.3802627698E-01
 1130.827026 0.3721266240E-01
 1133.834595 0.3643270954E-01
 1136.842041 0.3548470885E-01
