This is Bob Kurucz's extraterrestrial solar spectrum, based on
a line-by-line calculation, a theoretical model of the Sun, and
relevant datasets.  It has been averaged to 20 cm-1 resolution.
The wavenumber column value refers to an average over plus and
minus 10 cm-1 around that value. The columns are tab-delimited.
97/04/24: CSZ added first line of flux = 49980 cm-1 = 0 Wm-2/cm-1
Wavenumber(cm-1)	SolarSpectrum(Wm-2/cm-1)
17060.0	0.60450E-01
17080.0	0.63000E-01
17100.0	0.63450E-01
17120.0	0.63950E-01
17140.0	0.63400E-01
17160.0	0.64000E-01
17180.0	0.63500E-01
17200.0	0.62850E-01
17220.0	0.61950E-01
17240.0	0.63200E-01
17260.0	0.62150E-01
17280.0	0.60150E-01
17300.0	0.61850E-01
17320.0	0.62000E-01
17340.0	0.62300E-01
17360.0	0.62750E-01
17380.0	0.59700E-01
17400.0	0.61950E-01
17420.0	0.62350E-01
17440.0	0.62800E-01
17460.0	0.63400E-01
17480.0	0.62000E-01
17500.0	0.58550E-01
17520.0	0.59450E-01
17540.0	0.59900E-01
17560.0	0.60850E-01
17580.0	0.59400E-01
17600.0	0.60100E-01
17620.0	0.61600E-01
17640.0	0.59250E-01
17660.0	0.54300E-01
17680.0	0.59350E-01
17700.0	0.60600E-01
17720.0	0.59350E-01
17740.0	0.59500E-01
17760.0	0.61350E-01
17780.0	0.57800E-01
17800.0	0.56100E-01
17820.0	0.61850E-01
17840.0	0.58350E-01
17860.0	0.57050E-01
17880.0	0.56250E-01
17900.0	0.55750E-01
17920.0	0.58700E-01
17940.0	0.56600E-01
17960.0	0.57000E-01
17980.0	0.58350E-01
18000.0	0.57800E-01
18020.0	0.59350E-01
18040.0	0.59000E-01
18060.0	0.57600E-01
18080.0	0.56250E-01
18100.0	0.58200E-01
18120.0	0.59050E-01
18140.0	0.56500E-01
18160.0	0.56550E-01
18180.0	0.56800E-01
18200.0	0.56350E-01
18220.0	0.56900E-01
18240.0	0.56550E-01
18260.0	0.53550E-01
18280.0	0.58150E-01
18300.0	0.57000E-01
18320.0	0.55550E-01
18340.0	0.59650E-01
18360.0	0.55300E-01
18380.0	0.58500E-01
18400.0	0.55400E-01
